Volcano Number,Volcano Name,Country,Primary Volcano Type,Last Known Eruption,Region,Subregion,Latitude,Longitude,Elevation (m),Dominant Rock Type,Tectonic Setting
252071,Lolo,Papua New Guinea,Stratovolcano,Unknown,Melanesia and Australia,New Britain,-5.468,150.507,805,Andesite / Basaltic Andesite,Compressional Continental
252080,Pago,Papua New Guinea,Caldera,2012 CE,Melanesia and Australia,New Britain,-5.58,150.52,742,Dacite,Compressional Continental
252090,Sulu Range,Papua New Guinea,Stratovolcano(es),Unknown,Melanesia and Australia,New Britain,-5.5,150.942,610,Andesite / Basaltic Andesite,Compressional Continental
252100,Hargy,Papua New Guinea,Stratovolcano,950 CE,Melanesia and Australia,New Britain,-5.33,151.1,1148,Dacite,Compressional Continental
252110,Bamus,Papua New Guinea,Stratovolcano,1886 CE,Melanesia and Australia,New Britain,-5.2,151.23,2248,Andesite / Basaltic Andesite,Compressional Continental
252120,Ulawun,Papua New Guinea,Stratovolcano,2013 CE,Melanesia and Australia,New Britain,-5.05,151.33,2334,Basalt / Picro-Basalt,Compressional Continental
252130,Lolobau,Papua New Guinea,Caldera,1912 CE,Melanesia and Australia,New Britain,-4.92,151.158,858,Basalt / Picro-Basalt,Compressional Continental
252131,Unnamed,Papua New Guinea,Submarine?,Unknown,Melanesia and Australia,New Britain,-4.75,150.85,NaN,No Data (checked),Compressional Continental
252140,Rabaul,Papua New Guinea,Pyroclastic shield,2013 CE,Melanesia and Australia,New Britain,-4.271,152.203,688,Dacite,Compressional Continental
252150,Tavui,Papua New Guinea,Caldera,5150 BCE,Melanesia and Australia,New Britain,-4.12,152.2,200,Rhyolite,Compressional Continental
253000,Doma Peaks,Papua New Guinea,Stratovolcano,Unknown,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-5.9,143.15,3568,Andesite / Basaltic Andesite,Compressional Continental
253001,Crater Mountain,Papua New Guinea,Stratovolcano,Unknown,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-6.58,145.08,3233,Trachybasalt / Tephrite Basanite,Compressional Continental
253002,Yelia,Papua New Guinea,Stratovolcano,Unknown,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-7.05,145.858,3384,Andesite / Basaltic Andesite,Compressional Continental
253003,Koranga,Papua New Guinea,Maar,Unknown,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-7.33,146.708,1500,Dacite,Compressional Continental
253004,Madilogo,Papua New Guinea,Pyroclastic cone,Unknown,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-9.2,147.57,850,Trachybasalt / Tephrite Basanite,Compressional Continental
253010,Lamington,Papua New Guinea,Stratovolcano,1956 CE,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-8.95,148.15,1680,Andesite / Basaltic Andesite,Compressional Continental
253011,Hydrographers Range,Papua New Guinea,Stratovolcano,Unknown,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-9,148.37,1915,Andesite / Basaltic Andesite,Compressional Continental
253020,Musa River,Papua New Guinea,Hydrothermal field,Unknown,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-9.308,148.13,808,Andesite / Basaltic Andesite,Compressional Continental
253021,Managlase Plateau,Papua New Guinea,Volcanic field,Unknown,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-9.08,148.33,1342,Trachybasalt / Tephrite Basanite,Compressional Continental
253030,Victory,Papua New Guinea,Stratovolcano,1935 CE,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-9.2,149.07,1925,Andesite / Basaltic Andesite,Compressional Continental
253031,Sessagara,Papua New Guinea,Pyroclastic cone(s),Unknown,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-9.48,149.13,370,Trachyandesite / Basaltic trachy-andesite,Compressional Continental
253040,Waiowa,Papua New Guinea,Pyroclastic cone,1944 CE,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-9.57,149.075,640,Trachyandesite / Basaltic trachy-andesite,Compressional Continental
253041,Goodenough,Papua New Guinea,Volcanic field,Unknown,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-9.48,150.35,220,Andesite / Basaltic Andesite,Compressional Continental
253050,Iamalele,Papua New Guinea,Lava dome(s),Unknown,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-9.52,150.53,200,Andesite / Basaltic Andesite,Compressional Continental
253060,Dawson Strait Group,Papua New Guinea,Volcanic field,1350 CE,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,-9.62,150.88,500,Rhyolite,Compressional Continental
254010,Lihir,Papua New Guinea,Compound,Unknown,Melanesia and Australia,New Ireland,-3.125,152.642,700,Trachybasalt / Tephrite Basanite,Compressional (?)
254020,Ambitle,Papua New Guinea,Stratovolcano,350 BCE,Melanesia and Australia,New Ireland,-4.08,153.65,450,Phono-tephrite /  Tephri-phonolite,Compressional (?)
255000,Tore,Papua New Guinea,Lava cone,Unknown,Melanesia and Australia,Bougainville and Solomon Islands,-5.83,154.93,2200,Andesite / Basaltic Andesite,Compressional (?)
255010,Balbi,Papua New Guinea,Stratovolcano,Unknown,Melanesia and Australia,Bougainville and Solomon Islands,-5.92,154.98,2715,Andesite / Basaltic Andesite,Compressional (?)
255011,Billy Mitchell,Papua New Guinea,Pyroclastic shield,1580 CE,Melanesia and Australia,Bougainville and Solomon Islands,-6.092,155.225,1544,Andesite / Basaltic Andesite,Compressional (?)
255020,Bagana,Papua New Guinea,Lava cone,2013 CE,Melanesia and Australia,Bougainville and Solomon Islands,-6.14,155.195,1750,Andesite / Basaltic Andesite,Compressional (?)
255021,Takuan Group,Papua New Guinea,Compound,Unknown,Melanesia and Australia,Bougainville and Solomon Islands,-6.442,155.608,2210,Andesite / Basaltic Andesite,Compressional (?)
255030,Loloru,Papua New Guinea,Pyroclastic shield,1050 BCE,Melanesia and Australia,Bougainville and Solomon Islands,-6.52,155.62,1887,Andesite / Basaltic Andesite,Compressional (?)
255050,Simbo,Solomon Islands,Stratovolcano(es),1910 CE,Melanesia and Australia,Bougainville and Solomon Islands,-8.292,156.52,335,Andesite / Basaltic Andesite,Compressional (?)
255052,Kana Keoki,Solomon Islands,Submarine,Unknown,Melanesia and Australia,Bougainville and Solomon Islands,-8.75,157.03,-700,Dacite,Compressional (?)
255053,Coleman Seamount,Solomon Islands,Submarine,Unknown,Melanesia and Australia,Bougainville and Solomon Islands,-8.83,157.17,NaN,No Data (checked),Compressional (?)
255060,Kavachi,Solomon Islands,Submarine,2007 CE,Melanesia and Australia,Bougainville and Solomon Islands,-9.02,157.95,-20,Andesite / Basaltic Andesite,Compressional (?)
255061,Unnamed,Solomon Islands,Submarine(es),Unknown,Melanesia and Australia,Bougainville and Solomon Islands,-8.92,158.03,-240,Andesite / Basaltic Andesite,Compressional (?)
255062,Gallego,Solomon Islands,Volcanic field,Unknown,Melanesia and Australia,Bougainville and Solomon Islands,-9.35,159.73,1000,Andesite / Basaltic Andesite,Compressional (?)
255070,Savo,Solomon Islands,Stratovolcano,1847 CE,Melanesia and Australia,Bougainville and Solomon Islands,-9.13,159.82,485,Andesite / Basaltic Andesite,Compressional (?)
256010,Tinakula,Solomon Islands,Stratovolcano,2012 CE,Melanesia and Australia,Santa Cruz Islands,-10.38,165.8,851,Andesite / Basaltic Andesite,Compressional (?)
257001,Motlav,Vanuatu,Stratovolcano,Unknown,Melanesia and Australia,Vanuatu,-13.67,167.67,411,Basalt / Picro-Basalt,Compressional Intermediate
257010,Suretamatai,Vanuatu,Complex,1966 CE,Melanesia and Australia,Vanuatu,-13.8,167.47,921,Andesite / Basaltic Andesite,Compressional Intermediate
257020,Gaua,Vanuatu,Stratovolcano,2010 CE,Melanesia and Australia,Vanuatu,-14.27,167.5,797,Andesite / Basaltic Andesite,Compressional Intermediate
257021,Mere Lava,Vanuatu,Stratovolcano,Unknown,Melanesia and Australia,Vanuatu,-14.45,168.05,1028,Basalt / Picro-Basalt,Compressional Intermediate
257030,Aoba,Vanuatu,Shield,2011 CE,Melanesia and Australia,Vanuatu,-15.4,167.83,1496,Basalt / Picro-Basalt,Compressional Intermediate
257040,Ambrym,Vanuatu,Pyroclastic shield,2013 CE,Melanesia and Australia,Vanuatu,-16.25,168.12,1334,Basalt / Picro-Basalt,Compressional Intermediate
257050,Lopevi,Vanuatu,Stratovolcano,2007 CE,Melanesia and Australia,Vanuatu,-16.507,168.346,1413,Basalt / Picro-Basalt,Compressional Intermediate
257060,Epi,Vanuatu,Stratovolcano(es),2004 CE,Melanesia and Australia,Vanuatu,-16.68,168.37,833,Basalt / Picro-Basalt,Compressional Intermediate
257070,Kuwae,Vanuatu,Caldera,1974 CE,Melanesia and Australia,Vanuatu,-16.829,168.536,-2,Basalt / Picro-Basalt,Compressional Intermediate
257080,Unnamed,Vanuatu,Stratovolcano(es),Unknown,Melanesia and Australia,Vanuatu,-16.992,168.592,216,Basalt / Picro-Basalt,Compressional Intermediate
257081,North Vate,Vanuatu,Stratovolcano(es),Unknown,Melanesia and Australia,Vanuatu,-17.47,168.353,594,Basalt / Picro-Basalt,Compressional Intermediate
257090,Traitor's Head,Vanuatu,Stratovolcano,1881 CE,Melanesia and Australia,Vanuatu,-18.75,169.23,837,Basalt / Picro-Basalt,Compressional Intermediate
257100,Yasur,Vanuatu,Stratovolcano,2013 CE,Melanesia and Australia,Vanuatu,-19.53,169.442,361,Andesite / Basaltic Andesite,Compressional Intermediate
257110,Aneityum,Vanuatu,Stratovolcano(es),Unknown,Melanesia and Australia,Vanuatu,-20.2,169.78,852,Basalt / Picro-Basalt,Compressional Intermediate
258001,Eastern Gemini Seamount,France,Submarine,1996 CE,Melanesia and Australia,Pacific Ocean (southwestern),-20.98,170.28,-80,Basalt / Picro-Basalt,Tensional Oceanic
258010,Matthew Island,France,Stratovolcano,1956 CE,Melanesia and Australia,Pacific Ocean (southwestern),-22.33,171.32,177,Andesite / Basaltic Andesite,Compressional (?)
258020,Hunter Island,France,Stratovolcano,1903 CE,Melanesia and Australia,Pacific Ocean (southwestern),-22.4,172.05,297,Andesite / Basaltic Andesite,Compressional (?)
258030,Unnamed,Undersea Features,Submarine,1964 CE,Melanesia and Australia,Pacific Ocean (southwestern),-25.78,168.63,-2400,No Data (checked),Compressional (?)
259010,Newer Volcanics Province,Australia,Shield(s),2900 BCE,Melanesia and Australia,Australia,-37.77,142.5,1011,Trachybasalt / Tephrite Basanite,Intermediate Continental
260001,Narcondum,India,Stratovolcano,Unknown,Indonesia,Andaman Islands,13.43,94.28,710,Andesite / Basaltic Andesite,Compressional Continental
260010,Barren Island,India,Stratovolcano,2013 CE,Indonesia,Andaman Islands,12.278,93.858,354,Basalt / Picro-Basalt,Compressional Continental
261020,Seulawah Agam,Indonesia,Stratovolcano,1839 CE,Indonesia,Sumatra,5.448,95.658,1810,Andesite / Basaltic Andesite,Compressional Continental
261030,Peuet Sague,Indonesia,Complex,2000 CE,Indonesia,Sumatra,4.914,96.329,2801,Andesite / Basaltic Andesite,Compressional Continental
261050,"Telong, Bur ni",Indonesia,Stratovolcano,1937 CE,Indonesia,Sumatra,4.769,96.821,2617,Andesite / Basaltic Andesite,Compressional Continental
261070,Sibayak,Indonesia,Stratovolcano(es),1881 CE,Indonesia,Sumatra,3.23,98.52,2212,Andesite / Basaltic Andesite,Compressional Continental
261080,Sinabung,Indonesia,Stratovolcano,2013 CE,Indonesia,Sumatra,3.17,98.392,2460,Andesite / Basaltic Andesite,Compressional Continental
261090,Toba,Indonesia,Caldera,Unknown,Indonesia,Sumatra,2.58,98.83,2157,Dacite,Compressional Continental
261101,Imun,Indonesia,Unknown,Unknown,Indonesia,Sumatra,2.158,98.93,1505,Dacite,Compressional Continental
261110,Sibualbuali,Indonesia,Stratovolcano,Unknown,Indonesia,Sumatra,1.556,99.255,1819,Dacite,Compressional Continental
261111,Lubukraya,Indonesia,Stratovolcano,Unknown,Indonesia,Sumatra,1.478,99.209,1862,Andesite / Basaltic Andesite,Compressional Continental
261120,Sorikmarapi,Indonesia,Stratovolcano,1986 CE,Indonesia,Sumatra,0.686,99.539,2145,Andesite / Basaltic Andesite,Compressional Continental
261121,Malintang,Indonesia,Stratovolcano,Unknown,Indonesia,Sumatra,0.47,99.67,1983,Andesite / Basaltic Andesite,Compressional Continental
261130,Talakmau,Indonesia,Complex,Unknown,Indonesia,Sumatra,0.079,99.98,2919,Andesite / Basaltic Andesite,Compressional Continental
261131,Sarik-Gajah,Indonesia,Pyroclastic cone(s),Unknown,Indonesia,Sumatra,0.08,100.2,NaN,Andesite / Basaltic Andesite,Compressional Continental
261140,Marapi,Indonesia,Complex,2012 CE,Indonesia,Sumatra,-0.381,100.473,2891,Andesite / Basaltic Andesite,Compressional Continental
261150,Tandikat,Indonesia,Stratovolcano(es),1924 CE,Indonesia,Sumatra,-0.433,100.317,2438,Andesite / Basaltic Andesite,Compressional Continental
261160,Talang,Indonesia,Stratovolcano,2007 CE,Indonesia,Sumatra,-0.978,100.679,2597,Andesite / Basaltic Andesite,Compressional Continental
261170,Kerinci,Indonesia,Stratovolcano,2009 CE,Indonesia,Sumatra,-1.697,101.264,3800,Andesite / Basaltic Andesite,Compressional Continental
261171,Kunyit,Indonesia,Stratovolcano,Unknown,Indonesia,Sumatra,-2.274,101.483,2151,Dacite,Compressional Continental
261172,Hutapanjang,Indonesia,Stratovolcano,Unknown,Indonesia,Sumatra,-2.33,101.6,2021,No Data (checked),Compressional Continental
261180,Sumbing,Indonesia,Stratovolcano,1921 CE,Indonesia,Sumatra,-2.414,101.728,2507,Andesite / Basaltic Andesite,Compressional Continental
261191,Pendan,Indonesia,Unknown,Unknown,Indonesia,Sumatra,-2.82,102.02,NaN,No Data (checked),Compressional Continental
261200,Belirang-Beriti,Indonesia,Compound,Unknown,Indonesia,Sumatra,-2.82,102.18,1958,Basalt / Picro-Basalt,Compressional Continental
261210,"Daun, Bukit",Indonesia,Stratovolcano(es),Unknown,Indonesia,Sumatra,-3.38,102.37,2467,Basalt / Picro-Basalt,Compressional Continental
261220,Kaba,Indonesia,Stratovolcano,2000 CE,Indonesia,Sumatra,-3.52,102.62,1952,Andesite / Basaltic Andesite,Compressional Continental
261230,Dempo,Indonesia,Stratovolcano(es),2009 CE,Indonesia,Sumatra,-4.03,103.13,3173,Andesite / Basaltic Andesite,Compressional Continental
261231,Patah,Indonesia,Unknown,Unknown,Indonesia,Sumatra,-4.27,103.3,2817,No Data (checked),Compressional Continental
261240,"Lumut Balai, Bukit",Indonesia,Stratovolcano?,Unknown,Indonesia,Sumatra,-4.22,103.62,2055,Andesite / Basaltic Andesite,Compressional Continental
261250,Besar,Indonesia,Stratovolcano?,1940 CE,Indonesia,Sumatra,-4.43,103.67,1899,Andesite / Basaltic Andesite,Compressional Continental
261251,Ranau,Indonesia,Caldera,Unknown,Indonesia,Sumatra,-4.83,103.92,1881,Dacite,Compressional Continental
261260,Sekincau Belirang,Indonesia,Caldera(s),Unknown,Indonesia,Sumatra,-5.12,104.32,1719,Andesite / Basaltic Andesite,Compressional Continental
261270,Suoh,Indonesia,Caldera(s),1933 CE,Indonesia,Sumatra,-5.25,104.27,1000,No Data (checked),Compressional Continental
261280,Hulubelu,Indonesia,Caldera,Unknown,Indonesia,Sumatra,-5.35,104.6,1040,Andesite / Basaltic Andesite,Compressional Continental
261290,Rajabasa,Indonesia,Stratovolcano,Unknown,Indonesia,Sumatra,-5.78,105.625,1281,Andesite / Basaltic Andesite,Compressional Continental
262000,Krakatau,Indonesia,Caldera,2012 CE,Indonesia,Krakatau,-6.102,105.423,813,Andesite / Basaltic Andesite,Compressional Continental
263010,Pulosari,Indonesia,Stratovolcano,Unknown,Indonesia,Java,-6.342,105.975,1346,Andesite / Basaltic Andesite,Compressional Continental
263020,Karang,Indonesia,Stratovolcano,Unknown,Indonesia,Java,-6.27,106.042,1778,Andesite / Basaltic Andesite,Compressional Continental
263040,Perbakti-Gagak,Indonesia,Stratovolcano(es),1939 CE,Indonesia,Java,-6.75,106.7,1699,Andesite / Basaltic Andesite,Compressional Continental
263050,Salak,Indonesia,Stratovolcano,1938 CE,Indonesia,Java,-6.72,106.73,2211,Andesite / Basaltic Andesite,Compressional Continental
263060,Gede,Indonesia,Stratovolcano,1957 CE,Indonesia,Java,-6.78,106.98,2958,Andesite / Basaltic Andesite,Compressional Continental
263070,Patuha,Indonesia,Stratovolcano,Unknown,Indonesia,Java,-7.16,107.4,2434,Andesite / Basaltic Andesite,Compressional Continental
263080,Wayang-Windu,Indonesia,Lava dome,Unknown,Indonesia,Java,-7.208,107.63,2182,Andesite / Basaltic Andesite,Compressional Continental
263081,Malabar,Indonesia,Stratovolcano,Unknown,Indonesia,Java,-7.13,107.65,2343,Andesite / Basaltic Andesite,Compressional Continental
263090,Tangkubanparahu,Indonesia,Stratovolcano,2013 CE,Indonesia,Java,-6.77,107.6,2084,Andesite / Basaltic Andesite,Compressional Continental
263100,Papandayan,Indonesia,Stratovolcano(es),2002 CE,Indonesia,Java,-7.32,107.73,2665,Andesite / Basaltic Andesite,Compressional Continental
263110,Kendang,Indonesia,Stratovolcano,Unknown,Indonesia,Java,-7.23,107.72,2608,Andesite / Basaltic Andesite,Compressional Continental
263130,Guntur,Indonesia,Complex,1847 CE,Indonesia,Java,-7.143,107.84,2249,Andesite / Basaltic Andesite,Compressional Continental
263131,Tampomas,Indonesia,Stratovolcano,Unknown,Indonesia,Java,-6.77,107.95,1684,Andesite / Basaltic Andesite,Compressional Continental
263140,Galunggung,Indonesia,Stratovolcano,1984 CE,Indonesia,Java,-7.25,108.058,2168,Basalt / Picro-Basalt,Compressional Continental
263150,Talagabodas,Indonesia,Stratovolcano,Unknown,Indonesia,Java,-7.208,108.07,2201,Basalt / Picro-Basalt,Compressional Continental
263160,"Karaha, Kawah",Indonesia,Hydrothermal field(fumarolic),Unknown,Indonesia,Java,-7.12,108.08,1155,Andesite / Basaltic Andesite,Compressional Continental
263170,Cereme,Indonesia,Stratovolcano,1951 CE,Indonesia,Java,-6.892,108.4,3078,Andesite / Basaltic Andesite,Compressional Continental
263180,Slamet,Indonesia,Stratovolcano,2009 CE,Indonesia,Java,-7.242,109.208,3428,Basalt / Picro-Basalt,Compressional Continental
263200,Dieng Volcanic Complex,Indonesia,Complex,2009 CE,Indonesia,Java,-7.2,109.92,2565,Andesite / Basaltic Andesite,Compressional Continental
263210,Sundoro,Indonesia,Stratovolcano,1971 CE,Indonesia,Java,-7.3,109.992,3136,Andesite / Basaltic Andesite,Compressional Continental
263220,Sumbing,Indonesia,Stratovolcano,1730 CE,Indonesia,Java,-7.384,110.07,3371,Andesite / Basaltic Andesite,Compressional Continental
263230,Ungaran,Indonesia,Stratovolcano,Unknown,Indonesia,Java,-7.18,110.33,2050,Trachyandesite / Basaltic trachy-andesite,Compressional Continental
263231,Telomoyo,Indonesia,Stratovolcano,Unknown,Indonesia,Java,-7.37,110.4,1894,Andesite / Basaltic Andesite,Compressional Continental
263240,Merbabu,Indonesia,Stratovolcano,1797 CE,Indonesia,Java,-7.45,110.43,3145,Basalt / Picro-Basalt,Compressional Continental
263250,Merapi,Indonesia,Stratovolcano,2012 CE,Indonesia,Java,-7.542,110.442,2968,Andesite / Basaltic Andesite,Compressional Continental
263251,Muria,Indonesia,Stratovolcano,160 BCE,Indonesia,Java,-6.62,110.88,1625,Trachybasalt / Tephrite Basanite,Compressional Continental
263260,Lawu,Indonesia,Stratovolcano,1885 CE,Indonesia,Java,-7.625,111.192,3265,Andesite / Basaltic Andesite,Compressional Continental
263270,Wilis,Indonesia,Stratovolcano,Unknown,Indonesia,Java,-7.808,111.758,2563,Andesite / Basaltic Andesite,Compressional Continental
263280,Kelut,Indonesia,Stratovolcano,2008 CE,Indonesia,Java,-7.93,112.308,1731,Andesite / Basaltic Andesite,Compressional Continental
263281,Kawi-Butak,Indonesia,Stratovolcano(es),Unknown,Indonesia,Java,-7.92,112.45,2651,No Data (checked),Compressional Continental
263290,Arjuno-Welirang,Indonesia,Stratovolcano,1952 CE,Indonesia,Java,-7.725,112.58,3339,Andesite / Basaltic Andesite,Compressional Continental
263291,Penanggungan,Indonesia,Stratovolcano,Unknown,Indonesia,Java,-7.62,112.63,1653,Andesite / Basaltic Andesite,Compressional Continental
263292,Malang Plain,Indonesia,Maar(s),Unknown,Indonesia,Java,-8.02,112.68,680,No Data (checked),Compressional Continental
263300,Semeru,Indonesia,Stratovolcano,2012 CE,Indonesia,Java,-8.108,112.92,3676,Andesite / Basaltic Andesite,Compressional Continental
263310,Tengger Caldera,Indonesia,Stratovolcano(es),2012 CE,Indonesia,Java,-7.942,112.95,2329,Trachyandesite / Basaltic trachy-andesite,Compressional Continental
263320,Lamongan,Indonesia,Stratovolcano,1898 CE,Indonesia,Java,-7.979,113.342,1651,Basalt / Picro-Basalt,Compressional Continental
263321,Lurus,Indonesia,Complex,Unknown,Indonesia,Java,-7.73,113.58,539,Andesite / Basaltic Andesite,Compressional Continental
263330,Iyang-Argapura,Indonesia,Complex,Unknown,Indonesia,Java,-7.97,113.57,3088,Andesite / Basaltic Andesite,Compressional Continental
263340,Raung,Indonesia,Stratovolcano,2008 CE,Indonesia,Java,-8.125,114.042,3332,Andesite / Basaltic Andesite,Compressional Continental
263350,Ijen,Indonesia,Stratovolcano(es),1999 CE,Indonesia,Java,-8.058,114.242,2799,Andesite / Basaltic Andesite,Compressional Continental
263351,Baluran,Indonesia,Stratovolcano,Unknown,Indonesia,Java,-7.85,114.37,1247,Andesite / Basaltic Andesite,Compressional Continental
264001,Bratan,Indonesia,Caldera,Unknown,Indonesia,Lesser Sunda Islands,-8.28,115.13,2276,Andesite / Basaltic Andesite,Compressional Continental
264010,Batur,Indonesia,Caldera,2000 CE,Indonesia,Lesser Sunda Islands,-8.242,115.375,1717,Andesite / Basaltic Andesite,Compressional Continental
264020,Agung,Indonesia,Stratovolcano,1964 CE,Indonesia,Lesser Sunda Islands,-8.342,115.508,3142,Andesite / Basaltic Andesite,Compressional Continental
264030,Rinjani,Indonesia,Stratovolcano,2010 CE,Indonesia,Lesser Sunda Islands,-8.42,116.47,3726,Andesite / Basaltic Andesite,Compressional Continental
264040,Tambora,Indonesia,Stratovolcano,1967 CE,Indonesia,Lesser Sunda Islands,-8.25,118,2850,Trachybasalt / Tephrite Basanite,Compressional Continental
264050,Sangeang Api,Indonesia,Complex,1999 CE,Indonesia,Lesser Sunda Islands,-8.2,119.07,1949,Trachybasalt / Tephrite Basanite,Compressional Continental
264060,"Sano, Wai",Indonesia,Caldera,Unknown,Indonesia,Lesser Sunda Islands,-8.72,120.02,903,Dacite,Compressional Continental
264070,Poco Leok,Indonesia,Stratovolcano,Unknown,Indonesia,Lesser Sunda Islands,-8.68,120.48,1675,Andesite / Basaltic Andesite,Compressional (?)
264071,Ranakah,Indonesia,Lava dome(s),1991 CE,Indonesia,Lesser Sunda Islands,-8.62,120.52,2350,Andesite / Basaltic Andesite,Compressional Continental
264080,Inierie,Indonesia,Stratovolcano,8050 BCE,Indonesia,Lesser Sunda Islands,-8.875,120.95,2245,Andesite / Basaltic Andesite,Compressional (?)
264090,Inielika,Indonesia,Complex,2001 CE,Indonesia,Lesser Sunda Islands,-8.73,120.98,1559,Andesite / Basaltic Andesite,Compressional (?)
264100,Ebulobo,Indonesia,Stratovolcano,1969 CE,Indonesia,Lesser Sunda Islands,-8.82,121.18,2124,Andesite / Basaltic Andesite,Compressional (?)
264110,Iya,Indonesia,Stratovolcano,1969 CE,Indonesia,Lesser Sunda Islands,-8.897,121.645,637,Basalt / Picro-Basalt,Compressional (?)
264120,Sukaria Caldera,Indonesia,Caldera,Unknown,Indonesia,Lesser Sunda Islands,-8.792,121.77,1500,No Data (checked),Compressional (?)
264130,Ndete Napu,Indonesia,Hydrothermal field(fumarolic),Unknown,Indonesia,Lesser Sunda Islands,-8.72,121.78,750,No Data (checked),Compressional (?)
264140,Kelimutu,Indonesia,Complex,1968 CE,Indonesia,Lesser Sunda Islands,-8.77,121.82,1639,Andesite / Basaltic Andesite,Compressional (?)
264150,Paluweh,Indonesia,Stratovolcano,2013 CE,Indonesia,Lesser Sunda Islands,-8.32,121.708,875,Andesite / Basaltic Andesite,Compressional (?)
264160,Egon,Indonesia,Stratovolcano,2008 CE,Indonesia,Lesser Sunda Islands,-8.67,122.45,1703,Andesite / Basaltic Andesite,Compressional (?)
264170,Ilimuda,Indonesia,Stratovolcano,Unknown,Indonesia,Lesser Sunda Islands,-8.478,122.671,1100,Andesite / Basaltic Andesite,Compressional (?)
264180,Lewotobi,Indonesia,Stratovolcano(es),2003 CE,Indonesia,Lesser Sunda Islands,-8.542,122.775,1703,Andesite / Basaltic Andesite,Compressional (?)
264200,Leroboleng,Indonesia,Complex,2003 CE,Indonesia,Lesser Sunda Islands,-8.358,122.842,1117,Andesite / Basaltic Andesite,Compressional (?)
264220,Iliboleng,Indonesia,Stratovolcano,1993 CE,Indonesia,Lesser Sunda Islands,-8.342,123.258,1659,Basalt / Picro-Basalt,Compressional (?)
264230,Lewotolo,Indonesia,Stratovolcano,2012 CE,Indonesia,Lesser Sunda Islands,-8.272,123.505,1423,Andesite / Basaltic Andesite,Compressional (?)
264240,Ililabalekan,Indonesia,Stratovolcano,Unknown,Indonesia,Lesser Sunda Islands,-8.55,123.38,1018,Basalt / Picro-Basalt,Compressional (?)
264250,Iliwerung,Indonesia,Complex,1999 CE,Indonesia,Lesser Sunda Islands,-8.53,123.57,1018,Basalt / Picro-Basalt,Compressional (?)
264260,"Tara, Batu",Indonesia,Stratovolcano,2013 CE,Indonesia,Lesser Sunda Islands,-7.792,123.579,748,Trachybasalt / Tephrite Basanite,Compressional Oceanic
264270,Sirung,Indonesia,Complex,2012 CE,Indonesia,Lesser Sunda Islands,-8.508,124.13,862,Andesite / Basaltic Andesite,Compressional (?)
264280,Yersey,Indonesia,Submarine?,Unknown,Indonesia,Lesser Sunda Islands,-7.53,123.95,-3800,No Data (checked),Compressional Oceanic
265010,Emperor of China,Indonesia,Submarine?,Unknown,Indonesia,Banda Sea,-6.62,124.22,-2850,No Data (checked),Compressional Oceanic
265020,Nieuwerkerk,Indonesia,Submarine?,Unknown,Indonesia,Banda Sea,-6.6,124.675,-2285,No Data (checked),Compressional Oceanic
265030,Gunungapi Wetar,Indonesia,Stratovolcano,1699 CE,Indonesia,Banda Sea,-6.642,126.65,282,Andesite / Basaltic Andesite,Compressional Oceanic
265040,Wurlali,Indonesia,Stratovolcano,1892 CE,Indonesia,Banda Sea,-7.125,128.675,868,Andesite / Basaltic Andesite,Compressional Oceanic
265050,Teon,Indonesia,Stratovolcano,1904 CE,Indonesia,Banda Sea,-6.92,129.125,655,Andesite / Basaltic Andesite,Compressional Oceanic
265060,Nila,Indonesia,Stratovolcano,1968 CE,Indonesia,Banda Sea,-6.73,129.5,781,Andesite / Basaltic Andesite,Compressional Oceanic
265070,Serua,Indonesia,Stratovolcano,1921 CE,Indonesia,Banda Sea,-6.3,130,641,Andesite / Basaltic Andesite,Compressional Oceanic
265080,Manuk,Indonesia,Stratovolcano,Unknown,Indonesia,Banda Sea,-5.53,130.292,282,Andesite / Basaltic Andesite,Compressional Oceanic
265090,Banda Api,Indonesia,Caldera,1988 CE,Indonesia,Banda Sea,-4.525,129.871,640,Dacite,Compressional Oceanic
266010,Colo [Una Una],Indonesia,Stratovolcano,1983 CE,Indonesia,Sulawesi,-0.17,121.608,507,Trachyandesite / Basaltic trachy-andesite,Compressional Continental
266020,Ambang,Indonesia,Complex,1845 CE,Indonesia,Sulawesi,0.75,124.42,1795,Andesite / Basaltic Andesite,Compressional Continental
266030,Soputan,Indonesia,Stratovolcano,2012 CE,Indonesia,Sulawesi,1.108,124.73,1784,Andesite / Basaltic Andesite,Compressional Continental
